実施 する 	 じっし する
追っ て 	 おっ て
降伏 し た 	 こうふく し た
帰国 	 きこく
裏切っ た 	 うらぎっ た
組織 し て 	 そしき し て
採用 し て 	 さいよう し て
出し切っ て 	 だしきっ て
衰滅 する 	 すいめつ する
添加 し て 	 てんか し て
死滅 さ せ て 	 しめつ さ せ て
醗酵 し ない 	 はっこう し ない
止まり 	 どまり
報じ た 	 ほうじ た
拒否 し た 	 きょひ し た
受ける 	 うける
治っ た 	 なおっ た
経営 し て 	 けいえい し て
もたらし 	 もたらし
呼び込む 	 よびこむ
参加 	 さんか
棄却 し た 	 ききゃく し た
放送 	 ほうそう
からめる 	 からめる
設立 さ れ た 	 せつりつ さ れ た
担当 し て 	 たんとう し て
設立 し た 	 せつりつ し た
担当 	 たんとう
囲ま れ て 	 かこま れ て
展開 し て 	 てんかい し て
尽力 し た 	 じんりょく し た
死に 	 しに
述べ た 	 のべ た
挙げ て 	 あげ て
消え た 	 きえ た
使用 	 しよう
始まる 	 はじまる
採用 さ れる 	 さいよう さ れる
提供 さ れる 	 ていきょう さ れる
画す 	 がす
勤務 し た 	 きんむ し た
担任 し て 	 たんにん し て
利用 し 易い です 	 りよう し やすい です
当てる 	 あてる
戻る 	 もどる
受講 する 	 じゅこう する
発表 し た 	 はっぴょう し た
転がし 	 ころがし
挙げ た 	 あげ た
飼育 する 	 しいく する
調査 し た 	 ちょうさ し た
見つかっ て 	 みつかっ て
感じ ない 	 かんじ ない
改め られ て 	 あらため られ て
測定 し た 	 そくてい し た
記録 する 	 きろく する
用意 さ れ て 	 ようい さ れ て
移る 	 うつる
訪れる 	 おとずれる
紹介 さ れ 	 しょうかい さ れ
つい た 	 つい た
模索 する 	 もさく する
さ れ て 	 さ れ て
おら ず 	 おら ず
驚い た 	 おどろい た
できる ように なり まし た 	 できる ように なり まし た
覆う 	 おおう
確保 し て 	 かくほ し て
構成 する 	 こうせい する
代わっ て 	 かわっ て
行い 	 おこない
演出 し 	 えんしゅつ し
で 	 で
代用 できる 	 だいよう できる
相関 し て 	 そうかん し て
言え ない ようだ 	 いえ ない ようだ
通過 し た 	 つうか し た
反対 し た 	 はんたい し た
製造 さ れ 	 せいぞう さ れ
納入 さ れ た 	 のうにゅう さ れ た
軽視 し て 	 けいし し て
両立 さ れ て 	 りょうりつ さ れ て
近接 し て 	 きんせつ し て
接続 する 	 せつぞく する
色分け さ れ て 	 いろわけ さ れ て
迷う 	 まよう
取り付け られる 	 とりつけ られる
なり たい 	 なり たい
降り注ぎ 	 ふりそそぎ
蓄積 し て 	 ちくせき し て
当選 し まし た 	 とうせん し まし た
遅延 し た 	 ちえん し た
遅らせ て 	 おくらせ て
確定 し て 	 かくてい し て
失い 	 うしない
寄せ 	 よせ
連れ添っ て 	 つれそっ て
調査 する 	 ちょうさ する
発表 し 	 はっぴょう し
持てる 	 もてる
来店 し まし た 	 らいてん し まし た
引き 	 ひき
打ち合っ て 	 うちあっ て
確認 し て 	 かくにん し て
出さ れ た 	 ださ れ た
示さ れ た 	 しめさ れ た
継承 さ れ て 	 けいしょう さ れ て
飽き ませ ん でした 	 あき ませ ん でした
含み 	 ふくみ
み られ ない 	 み られ ない
物語っ て 	 ものがたっ て
象徴 する 	 しょうちょう する
頑張る 	 がんばる
燃える 	 もえる
見 込ん だ 	 み こん だ
上回り 	 かみまわり
減速 し て 	 げんそく し て
後退 	 こうたい
かえ て 	 かえ て
搭載 さ れ た 	 とうさい さ れ た
書か れ た 	 かか れ た
撒く 	 まく
とどまり 	 とどまり
仕舞わ れ た 	 じまいわ れ た
圧倒 し て 	 あっとう し て
叫ば れ て 	 さけば れ て
いっ た 	 いっ た
増える 	 ふえる
埋め 尽くす 	 うめ つくす
取り組 め そう です 	 とりく め そう です
教える 	 おしえる
教わる 	 おそわる
建設 さ れ 	 けんせつ さ れ
廃止 さ れる 	 はいし さ れる
敷き詰める 	 しきつめる
斬る 	 きる
満喫 さ せ て 	 まんきつ さ せ て
いけ て 	 いけ て
移籍 	 いせき
入場 でき ない 	 にゅうじょう でき ない
超え て 	 こえ て
漂着 する 	 ひょうちゃく する
持た ない 	 もた ない
認識 し た 	 にんしき し た
停止 	 ていし
盗む 	 ぬすむ
破壊 さ れ て 	 はかい さ れ て
マーク する 	 まーく する
生み出す 	 うみだす
続き まし た 	 つづき まし た
電話 し て 	 でんわ し て
し まし た 	 し まし た
抑え 	 おさえ
設定 する 	 せってい する
応じ て 	 おうじ て
変更 できる 	 へんこう できる
低減 する 	 ていげん する
備え て 	 そなえ て
用い た 	 もちい た
挙げる 	 あげる
収め た 	 おさめ た
断ら ない 	 ことわら ない
連打 し 	 れんだ し
始まっ た 	 はじまっ た
主催 する 	 しゅさい する
特化 さ れ た 	 とっか さ れ た
指名 する 	 しめい する
破壊 さ れ 	 はかい さ れ
混合 する 	 こんごう する
得 られる 	 え られる
送っ て 	 おくっ て
死去 し た 	 しきょ し た
し よう 	 し よう
現れ た 	 あらわれ た
やめ た 	 やめ た
残さ れ て 	 のこさ れ て
運営 	 うんえい
工夫 さ れ た 	 くふう さ れ た
向ける 	 むける
利用 さ れ 	 りよう さ れ
知っ た 	 しっ た
言い 出し 	 いい だし
言い出す 	 いいだす
意味 し 	 いみ し
光り輝く 	 ひかりかがやく
合格 	 ごうかく
発売 さ れ た 	 はつばい さ れ た
販売 さ れ ませ ん 	 はんばい さ れ ませ ん
帰国 し て 	 きこく し て
苦しめ て 	 くるしめ て
出演 し て 	 しゅつえん し て
戦う 	 たたかう
固め られ た 	 かため られ た
治し て 	 なおし て
伝え た 	 つたえ た
関わら ず 	 かかわら ず
行き ませ ん でした 	 いき ませ ん でした
比べ 	 くらべ
参加 し たい 	 さんか し たい
減る 	 へる
参加 し たく ない 	 さんか し たく ない
答える 	 こたえる
超える 	 こえる
分かっ た 	 わかっ た
公開 	 こうかい
利用 し て 	 りよう し て
陥れ よう 	 おとしいれ よう
堪え ませ ん 	 たえ ませ ん
付い た 	 つい た
拭く 	 ふく
脱脂 する 	 だっし する
配信 さ れる 	 はいしん さ れる
最適化 さ れ た 	 さいてきか さ れ た
さ せる 	 さ せる
使い古さ れ た 	 つかいふるさ れ た
弾圧 し ない 	 だんあつ し ない
分類 さ れる 	 ぶんるい さ れる
い ます 	 い ます
発表 さ れ た 	 はっぴょう さ れ た
満足 し て 	 まんぞく し て
目指し て 	 めざし て
報告 し て 	 ほうこく し て
経過 し て 	 けいか し て
批判 し 	 ひはん し
失っ て 	 うしなっ て
述懐 し て 	 じゅっかい し て
シングル 	 しんぐる
化 さ れ て 	 か さ れ て
備え 	 そなえ
うたう 	 うたう
増し た 	 まし た
変更 さ れ て 	 へんこう さ れ て
短縮 さ れ て 	 たんしゅく さ れ て
接続 する ように なっ た 	 せつぞく する ように なっ た
アップロード し た 	 あっぷろーど し た
貼り付け 	 はりつけ
できる ように し て 	 できる ように し て
書い た 	 かい た
盗撮 し た 	 とうさつ し た
開催 し て 	 かいさい し て
乗っ て 	 のっ て
買っ ちゃい まし た 	 かっ ちゃい まし た
ラインナップ さ れ て 	 らいんなっぷ さ れ て
ミス する 	 みす する
目指し 	 めざし
近付く 	 ちかづく
入手 でき ます 	 にゅうしゅ でき ます
北上 し 	 ほくじょう し
確認 さ れ て 	 かくにん さ れ て
伝承 	 でんしょう
死に際 し 	 しにさい し
去っ て 	 さっ て
迎え 	 むかえ
来 た 	 き た
語ら れる 	 かたら れる
称し て 	 しょうし て
持ち逃げ さ れ ます 	 もちにげ さ れ ます
飛 べ なく し た 	 と べ なく し た
喰らい 	 くらい
壊れ た 	 こわれ た
デビュー 	 でびゅー
潰す 	 つぶす
結婚 する 	 けっこん する
辞し て 	 じし て
売却 し た 	 ばいきゃく し た
効く 	 きく
判定 する 	 はんてい する
誤ら せ て 	 あやまら せ て
生み出し ます 	 うみだし ます
いえ 	 いえ
呼 べる 	 よ べる
有し て 	 ゆうし て
看過 さ れ て 	 かんか さ れ て
あしらっ た 	 あしらっ た
持参 し 	 もちさん し
撮ら せ て 	 とら せ て
いらっしゃい まし た 	 いらっしゃい まし た
採用 し 	 さいよう し
見習い ましょ う 	 みならい ましょ う
独立 し た 	 どくりつ し た
作っ て 	 つくっ て
至ら ない 	 いたら ない
形成 し て 	 けいせい し て
寄与 する 	 きよ する
赴任 する 	 ふにん する
でき ず 	 でき ず
言い渡し た 	 いいわたし た
申し上げ ます 	 もうしあげ ます
丸洗い する 	 まるあらい する
直る 	 なおる
積ん だ 	 つん だ
取り入れ た 	 とりいれ た
指定 さ れ た 	 してい さ れ た
発表 する 	 はっぴょう する
普及 する 	 ふきゅう する
中止 する 	 ちゅうし する
富む 	 とむ
記す 	 きす
勧めし ます 	 すすめし ます
尽き た 	 つき た
移籍 し 	 いせき し
登っ た 	 のぼっ た
合わせ た 	 あわせ た
し やすい 	 し やすい
反対 する 	 はんたい する
かまわ ず 	 かまわ ず
追いかける 	 おいかける
逮捕 さ れる 	 たいほ さ れる
果たし た 	 はたし た
教え た 	 おしえ た
用意 し て 	 ようい し て
書き込ん 	 かきこん
有する 	 ゆうする
脅かし 	 おびやかし
勝利 する 	 しょうり する
続く 	 つづく
完結 し て 	 かんけつ し て
築か れ て 	 きずか れ て
賛成 し ます 	 さんせい し ます
切り離す 	 きりはなす
滅ぼさ れ た 	 ほろぼさ れ た
喋る ように なっ た 	 しゃべる ように なっ た
使用 し て 	 しよう し て
かき 始め 	 かき はじめ
眠り 始め まし た 	 ねむり はじめ まし た
備え付け られ て 	 そなえつけ られ て
認識 し 	 にんしき し
尊重 し 合う 	 そんちょう し あう
たり 得 ない 	 たり え ない
意味 する 	 いみ する
押し て 	 おし て
し ませ ん でした 	 し ませ ん でした
向か ない 	 むか ない
書き加え なければ いけ ない 	 かきくわえ なければ いけ ない
選択 する 	 せんたく する
上昇 し 	 じょうしょう し
低下 	 ていか
好ま ない 	 このま ない
挙げ られる 	 あげ られる
重ねる 	 かさねる
自立 する 	 じりつ する
つとめ た 	 つとめ た
合わ ない 	 あわ ない
なり やすい 	 なり やすい
形成 し た 	 けいせい し た
変化 さ せ 	 へんか さ せ
吹き飛ばし た 	 ふきとばし た
並び 	 ならび
揃え て 	 そろえ て
計算 し た 	 けいさん し た
対応 し た 	 たいおう し た
公開 さ れ た 	 こうかい さ れ た
支払っ て 	 しはらっ て
相当 し て 	 そうとう し て
属す 	 ぞくす
結成 さ れ た 	 けっせい さ れ た
連ね て 	 つらね て
あげ 	 あげ
お茶 し て 	 おちゃ し て
帰り ます 	 かえり ます
隣接 する 	 りんせつ する
占める 	 しめる
飼育 さ れ て 	 しいく さ れ て
比べる 	 くらべる
戦い 	 たたかい
基づい て 	 もとづい て
行なう 	 おこなう
手伝っ て 	 てつだっ て
語る 	 かたる
果たさ せる 	 はたさ せる
突破 し た 	 とっぱ し た
記録 さ れ て 	 きろく さ れ て
聴い た 	 きい た
帰っ て 	 かえっ て
触れる 	 ふれる
中断 さ れ た 	 ちゅうだん さ れ た
逃し て 	 のがし て
投入 し た 	 とうにゅう し た
共有 する 	 きょうゆう する
経営 する 	 けいえい する
振り込ま れ た 	 ふりこま れ た
計上 せ ず 	 けいじょう せ ず
行動 し て 	 こうどう し て
共有 し て 	 きょうゆう し て
認め られ 	 みとめ られ
進め られ て 	 すすめ られ て
勤める 	 つとめる
不足 し 	 ふそく し
埋め た 	 うめ た
異なる 	 ことなる
荒れ 	 あれ
殴ら れ て 	 なぐら れ て
続か ず 	 つづか ず
出し さ れ て 	 だし さ れ て
終了 	 しゅうりょう
出荷 さ れ た 	 しゅっか さ れ た
購入 し た 	 こうにゅう し た
限り ませ ん 	 かぎり ませ ん
計画 さ れ て 	 けいかく さ れ て
落とし て 	 おとし て
出場 し た 	 しゅつじょう し た
抑え た 	 おさえ た
